author,title,description,publishedAt,content,cleaned_content,sentiment_score,sentiment_label
Joe Brennan,Karl Deeter earnout from fintech sale to UK plc jumps amid follow-on deal,Dublin-based Artificial Intelligence Finance was sold to London-listed Software Circle in early August in a deal worth as much as €9 million,2025-10-13T14:45:44Z,Karl Deeter earnout from fintech sale to UK plc jumps amid follow-on deal Dublin-based Artificial Intelligence Finance was sold to London-listed Software Circle in early August in a deal worth as much as €9 million,karl deeter earnout fintech sale uk plc jumps amid followon deal dublinbased artificial intelligence finance sold londonlisted software circle early august deal worth much million,0.9,Positive
By David Lawder,"Trump's latest China tariff brinkmanship clouds IMF, World Bank meetings",WASHINGTON (Reuters) -Finance chiefs gathering in Washington this week were ready to discuss the global economy's surprising resilience in the face of Donald...,2025-10-13T14:45:39Z,"Trump's latest China tariff brinkmanship clouds IMF, World Bank meetings WASHINGTON (Reuters) -Finance chiefs gathering in Washington this week were ready to discuss the global economy's surprising resilience in the face of Donald...",trumps latest china tariff brinkmanship clouds imf world bank meetings washington reuters finance chiefs gathering washington week ready discuss global economys surprising resilience face donald,-0.85,Negative
"sascha.pare@futurenet.com (Sascha Pare) , Sascha Pare",AI reveals hidden 'ring fault' that is unleashing earthquakes at Italy's Campi Flegrei volcano,"A new AI tool reveals that Campi Flegrei experienced more than 54,000 earthquakes between 2022 and 2025. By mapping these events, researchers discovered a huge, crisp, ring-shaped fault.",2025-10-13T14:45:32Z,"AI reveals hidden 'ring fault' that is unleashing earthquakes at Italy's Campi Flegrei volcano A new AI tool reveals that Campi Flegrei experienced more than 54,000 earthquakes between 2022 and 2025. By mapping these events, researchers discovered a huge, crisp, ring-shaped fault.",ai reveals hidden ring fault unleashing earthquakes italys campi flegrei volcano new ai tool reveals campi flegrei experienced earthquakes mapping events researchers discovered huge crisp ringshaped fault,-0.9,Negative
msmash,The Pope Urges Vigilance About Who Controls AI,"An anonymous reader shares a report: Last week, sounding like a digital media consultant, Pope Leo XIV urged reporters to avoid ""the degrading practice of so-called clickbait."" He was addressing global news agencies at a gathering in Vatican City about the ri…",2025-10-13T14:41:00Z,"The Pope Urges Vigilance About Who Controls AI An anonymous reader shares a report: Last week, sounding like a digital media consultant, Pope Leo XIV urged reporters to avoid ""the degrading practice of so-called clickbait."" He was addressing global news agencies at a gathering in Vatican City about the ri…",pope urges vigilance controls ai anonymous reader shares report last week sounding like digital media consultant pope leo xiv urged reporters avoid degrading practice socalled clickbait addressing global news agencies gathering vatican city ri,0.0,Neutral
Ireland Owens,"Major Bank Unveils $1.5 Trillion Effort To Boost US Economic, National Security","JPMorgan Chase announced Monday a $1.5 trillion plan to facilitate investments in industries ""critical to national economic security and resiliency.""",2025-10-13T14:38:51Z,"Major Bank Unveils $1.5 Trillion Effort To Boost US Economic, National Security JPMorgan Chase announced Monday a $1.5 trillion plan to facilitate investments in industries ""critical to national economic security and resiliency.""",major bank unveils trillion effort boost us economic national security jpmorgan chase announced monday trillion plan facilitate investments industries critical national economic security resiliency,0.95,Positive
Associated Press Finance,OpenAI partners with Broadcom to design its own AI chips,OpenAI said Monday it is working with chipmaker Broadcom to design its own artificial intelligence computer chips.  The two California companies didn't...,2025-10-13T14:37:22Z,OpenAI partners with Broadcom to design its own AI chips OpenAI said Monday it is working with chipmaker Broadcom to design its own artificial intelligence computer chips.  The two California companies didn't...,openai partners broadcom design ai chips openai said monday working chipmaker broadcom design artificial intelligence computer chips two california companies didnt,0.0,Neutral
Bloomberg News,"US Stocks Gain as China Tensions Ease, Broadcom Inks OpenAI Deal","US stocks rebounded on Monday, as President Donald Trump dialed back his threats to impose tariffs on China and Broadcom Inc. signed a multi-year deal with OpenAI.",2025-10-13T14:35:47Z,"US Stocks Gain as China Tensions Ease, Broadcom Inks OpenAI Deal US stocks rebounded on Monday, as President Donald Trump dialed back his threats to impose tariffs on China and Broadcom Inc. signed a multi-year deal with OpenAI.",us stocks gain china tensions ease broadcom inks openai deal us stocks rebounded monday president donald trump dialed back threats impose tariffs china broadcom inc signed multiyear deal openai,0.95,Positive
"Stan Choe, The Associated Press",Dow jumps 413 points in 5 minutes as Trump reassures markets ‘it will all be fine’,"He also said that China’s leader, Xi Jinping, “doesn’t want Depression for his country, and neither do I. The U.S.A. wants to help China, not hurt it!!!”",2025-10-13T14:33:20Z,"Dow jumps 413 points in 5 minutes as Trump reassures markets ‘it will all be fine’ He also said that China’s leader, Xi Jinping, “doesn’t want Depression for his country, and neither do I. The U.S.A. wants to help China, not hurt it!!!”",dow jumps points minutes trump reassures markets fine also said chinas leader xi jinping doesnt want depression country neither usa wants help china hurt,0.95,Positive
breakingthenews.net,Zoom's AI platform to be available on Oracle's cloud,Zoom Communications Inc. announced on Monday that it has partnered with Oracle Corporation to integrate its artificial intelligence (AI)-powered communication platform Zoom CX with Oracle Cloud Infras...,2025-10-13T14:31:55Z,Zoom's AI platform to be available on Oracle's cloud Zoom Communications Inc. announced on Monday that it has partnered with Oracle Corporation to integrate its artificial intelligence (AI)-powered communication platform Zoom CX with Oracle Cloud Infras...,zooms ai platform available oracles cloud zoom communications inc announced monday partnered oracle corporation integrate artificial intelligence aipowered communication platform zoom cx oracle cloud infras,0.9,Positive
,"Maignan fuming  latest on Politano, Thuram, Buongiorno, Celik ","On the eve of Italy's decisive match against Israel, valid for the race to the 2026 World Cup (here are all the potential playoff opponents), two pieces of bad news arrive for Juventus and Fiorentina ...",2025-10-13T14:31:00Z,"Maignan fuming  latest on Politano, Thuram, Buongiorno, Celik  On the eve of Italy's decisive match against Israel, valid for the race to the 2026 World Cup (here are all the potential playoff opponents), two pieces of bad news arrive for Juventus and Fiorentina ...",maignan fuming latest politano thuram buongiorno celik eve italys decisive match israel valid race world cup potential playoff opponents two pieces bad news arrive juventus fiorentina,-0.9,Negative
Jeffrey H. Snyder,How AI Could Monitor Brain Health and Find Dementia Sooner,"AI can monitor brain health and detect early signs of dementia by analyzing data from brain scans, EEG tests, and even movement patterns. These technologies ...",2025-10-13T14:30:00Z,"How AI Could Monitor Brain Health and Find Dementia Sooner AI can monitor brain health and detect early signs of dementia by analyzing data from brain scans, EEG tests, and even movement patterns. These technologies ...",ai could monitor brain health find dementia sooner ai monitor brain health detect early signs dementia analyzing data brain scans eeg tests even movement patterns technologies,0.9,Positive
"Kirk Ogunrinde, Former Contributor, 
 Kirk Ogunrinde, Former Contributor
 https://www.forbes.com/sites/kirkogunrinde/",Rare Earth Stocks Surge On JPMorgan’s $1.5 Trillion U.S. Investment Pledge,The bank said it will make direct equity and venture investments of up to $10 billion in select companies in the new initiative.,2025-10-13T14:29:17Z,Rare Earth Stocks Surge On JPMorgan’s $1.5 Trillion U.S. Investment Pledge The bank said it will make direct equity and venture investments of up to $10 billion in select companies in the new initiative.,rare earth stocks surge jpmorgans trillion us investment pledge bank said make direct equity venture investments billion select companies new initiative,0.98,Positive
Becca Caddy,"Is ChatGPT lying to you? Maybe, but not in the way you think","Why stories of ""lying"" AI tools say more about human imagination (and Silicon Valley’s carelessness) than about machine intent.",2025-10-13T14:26:57Z,"Is ChatGPT lying to you? Maybe, but not in the way you think Why stories of ""lying"" AI tools say more about human imagination (and Silicon Valley’s carelessness) than about machine intent.",chatgpt lying maybe way think stories lying ai tools say human imagination silicon valleys carelessness machine intent,0.0,Neutral
Michelle Chapman,JPMorgan to invest up to $10 billion in US companies with crucial ties to national security,JPMorgan Chase will directly invest up to $10 billion in U.S. companies with crucial ties to national security,2025-10-13T14:26:39Z,JPMorgan to invest up to $10 billion in US companies with crucial ties to national security JPMorgan Chase will directly invest up to $10 billion in U.S. companies with crucial ties to national security,jpmorgan invest billion us companies crucial ties national security jpmorgan chase directly invest billion us companies crucial ties national security,0.95,Positive
Ash,DxO PhotoLab 9 ELITE Edition 9.1.1.26,"DxO PhotoLab provides a complete set of smart assisted corrections that you can manually fine-tune at any time. Take control on every aspect of your photos: effectively remove noise, get rid of light constraints, recover color details, apply sophisticated opt…",2025-10-13T14:25:56Z,"DxO PhotoLab 9 ELITE Edition 9.1.1.26 DxO PhotoLab provides a complete set of smart assisted corrections that you can manually fine-tune at any time. Take control on every aspect of your photos: effectively remove noise, get rid of light constraints, recover color details, apply sophisticated opt…",dxo photolab elite edition dxo photolab provides complete set smart assisted corrections manually finetune time take control every aspect photos effectively remove noise get rid light constraints recover color details apply sophisticated opt,0.95,Positive
ABC News,"Trio win Nobel economics prize for work on innovation, growth and 'creative destruction'","Joel Mokyr, Philippe Aghion and Peter Howitt have won the 2025 Nobel economics prize for their work on how innovation and the forces of ""creative destruction"" can drive economic growth and lift living standards across the globe.",2025-10-13T14:22:31Z,"Trio win Nobel economics prize for work on innovation, growth and 'creative destruction' Joel Mokyr, Philippe Aghion and Peter Howitt have won the 2025 Nobel economics prize for their work on how innovation and the forces of ""creative destruction"" can drive economic growth and lift living standards across the globe.",trio win nobel economics prize work innovation growth creative destruction joel mokyr philippe aghion peter howitt nobel economics prize work innovation forces creative destruction drive economic growth lift living standards across globe,0.98,Positive
