source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'the-irish-times', 'name': 'The Irish Times'}",Joe Brennan,Karl Deeter earnout from fintech sale to UK plc jumps amid follow-on deal,Dublin-based Artificial Intelligence Finance was sold to London-listed Software Circle in early August in a deal worth as much as €9 million,https://www.irishtimes.com/business/2025/10/13/karl-deeter-earnout-from-fintech-sale-to-uk-plc-jumps-amid-follow-on-deal/,https://www.irishtimes.com/resizer/v2/TQXMHSZLDJHTZKTGXBHKXBPVTM.jpg?smart=true&auth=61d0b9fd533b15a5d17a8b80e9658621ed67cd088328bb119a65aedcc307b54d&width=1200&height=630,2025-10-13T14:45:44Z,"Home loans expert Karl Deeter has secured a significant increase in the potential earnout from the recent sale of the mortgage and life insurance solutions fintech he founded, after it resulted in a … [+2552 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",By David Lawder,"Trump's latest China tariff brinkmanship clouds IMF, World Bank meetings",WASHINGTON (Reuters) -Finance chiefs gathering in Washington this week were ready to discuss the global economy's surprising resilience in the face of Donald...,https://www.yahoo.com/news/articles/trumps-latest-china-tariff-brinkmanship-144539433.html,https://media.zenfs.com/en/reuters.com/b5d50304345706c799de1364a066fee4,2025-10-13T14:45:39Z,"By David Lawder
WASHINGTON (Reuters) -Finance chiefs gathering in Washington this week were ready to discuss the global economy's surprising resilience in the face of Donald Trump's tariff assaults … [+5906 chars]"
"{'id': None, 'name': 'Live Science'}","sascha.pare@futurenet.com (Sascha Pare) , Sascha Pare",AI reveals hidden 'ring fault' that is unleashing earthquakes at Italy's Campi Flegrei volcano,"A new AI tool reveals that Campi Flegrei experienced more than 54,000 earthquakes between 2022 and 2025. By mapping these events, researchers discovered a huge, crisp, ring-shaped fault.",https://www.livescience.com/planet-earth/volcanos/ai-reveals-hidden-ring-fault-that-is-unleashing-earthquakes-at-italys-campi-flegrei-volcano,https://cdn.mos.cms.futurecdn.net/E4BvfkecbNtgANg7L2FxNK-1685-80.jpg,2025-10-13T14:45:32Z,"An artificial intelligence
 (AI) model has revealed never-before-seen geological structures at Italy's Campi Flegrei volcano, including a clear ""ring fault"" that could unleash magnitude 5 earthquake… [+5169 chars]"
"{'id': None, 'name': 'Slashdot.org'}",msmash,The Pope Urges Vigilance About Who Controls AI,"An anonymous reader shares a report: Last week, sounding like a digital media consultant, Pope Leo XIV urged reporters to avoid ""the degrading practice of so-called clickbait."" He was addressing global news agencies at a gathering in Vatican City about the ri…",https://slashdot.org/story/25/10/13/1316200/the-pope-urges-vigilance-about-who-controls-ai,https://a.fsdn.com/sd/topics/ai_64.png,2025-10-13T14:41:00Z,"As long as we can keep AI from getting into the hands of a multi-billionaire tribalist who owns car, robotics, brain chip, social media, and rocket companies we'll be fine."
"{'id': None, 'name': 'The Daily Caller'}",Ireland Owens,"Major Bank Unveils $1.5 Trillion Effort To Boost US Economic, National Security","JPMorgan Chase announced Monday a $1.5 trillion plan to facilitate investments in industries ""critical to national economic security and resiliency.""",https://dailycaller.com/2025/10/13/jpmorgan-chase-national-economic-security-jamie-dimon/,"https://images.dailycaller.com/image/width=1280,height=549,fit=cover,format=webp,f=auto/https://cdn01.dailycaller.com/wp-content/uploads/2025/10/GettyImages-2180806087-scaled-e1760363133658.jpg",2025-10-13T14:38:51Z,"JPMorgan Chase announced Monday a $1.5 trillion plan to facilitate investments in industries “critical to national economic security and resiliency” over the next 10 years.
The major bank plans to d… [+3107 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Associated Press Finance,OpenAI partners with Broadcom to design its own AI chips,OpenAI said Monday it is working with chipmaker Broadcom to design its own artificial intelligence computer chips.  The two California companies didn't...,https://finance.yahoo.com/news/openai-partners-broadcom-design-own-143722191.html,https://s.yimg.com/ny/api/res/1.2/VG4zpsHjNlo1AowiB2V6XA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/ap_finance_articles_694/4819ba5629a7f3b295a06bb37f387747,2025-10-13T14:37:22Z,"SAN FRANCISCO (AP) OpenAI said Monday it is working with chipmaker Broadcom to design its own artificial intelligence computer chips.
The two California companies didn't disclose the financial terms… [+732 chars]"
"{'id': 'financial-post', 'name': 'Financial Post'}",Bloomberg News,"US Stocks Gain as China Tensions Ease, Broadcom Inks OpenAI Deal","US stocks rebounded on Monday, as President Donald Trump dialed back his threats to impose tariffs on China and Broadcom Inc. signed a multi-year deal with OpenAI.",https://financialpost.com/pmn/business-pmn/us-stocks-gain-as-china-tensions-ease-broadcom-inks-openai-deal,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2025/10/monday-bounce-the-sp-500-opens-the-week-rallying-from-frida.jpg,2025-10-13T14:35:47Z,"(Bloomberg) US stocks rebounded on Monday, as President Donald Trump dialed back his threats to impose tariffs on China and Broadcom Inc. signed a multi-year deal with OpenAI. 
THIS CONTENT IS RESER… [+5411 chars]"
"{'id': 'fortune', 'name': 'Fortune'}","Stan Choe, The Associated Press",Dow jumps 413 points in 5 minutes as Trump reassures markets ‘it will all be fine’,"He also said that China’s leader, Xi Jinping, “doesn’t want Depression for his country, and neither do I. The U.S.A. wants to help China, not hurt it!!!”",https://fortune.com/2025/10/13/trump-markets-dow-413-points-it-will-all-be-fine-depression/,"https://fortune.com/img-assets/wp-content/uploads/2025/10/AP25286455392435-e1760365898817.jpg?resize=1200,600",2025-10-13T14:33:20Z,"The S&amp;P 500 jumped 1.1% to recover a little less than half of its drop from Friday, which was its worst since April. The Dow Jones Industrial Average was up 413 points, or 0.9%, as of 9:35 a.m. E… [+3139 chars]"
"{'id': None, 'name': 'Biztoc.com'}",breakingthenews.net,Zoom's AI platform to be available on Oracle's cloud,Zoom Communications Inc. announced on Monday that it has partnered with Oracle Corporation to integrate its artificial intelligence (AI)-powered communication platform Zoom CX with Oracle Cloud Infras...,https://biztoc.com/x/a6f6d56ac3933ced,https://biztoc.com/cdn/a6f6d56ac3933ced_s.webp,2025-10-13T14:31:55Z,Zoom Communications Inc. announced on Monday that it has partnered with Oracle Corporation to integrate its artificial intelligence (AI)-powered communication platform Zoom CX with Oracle Cloud Infra… [+69 chars]
"{'id': None, 'name': 'Onefootball.com'}",,"Maignan fuming  latest on Politano, Thuram, Buongiorno, Celik ","On the eve of Italy's decisive match against Israel, valid for the race to the 2026 World Cup (here are all the potential playoff opponents), two pieces of bad news arrive for Juventus and Fiorentina ...",https://onefootball.com/en/news/maignan-fuming-latest-on-politano-thuram-buongiorno-celik-41799613,https://photobooth-api.onefootball.com/api/screenshot/%2Fv2%2Fphotobooth%2Fcms%2Fen%2F41799613%3Fdate=2025-10-13,2025-10-13T14:31:00Z,"On the eve of Italy's decisive match against Israel, valid for the race to the 2026 World Cup (here are all the potential playoff opponents), two pieces of bad news arrive for Juventus and Fiorentina… [+4678 chars]"
